1,1,121.9,333.73,133.56,60.049999999999955,1,1,1.0
1,2,208.77,251.27,94.35999999999999,40.53,1,1,1.0
1,3,733.0,266.33,72.70000000000005,38.69,1,1,1.0
2,1,98.9,337.8,137.1,60.69999999999999,1,1,1.0
2,2,208.75,251.32,94.36000000000001,40.75999999999999,1,1,1.0
2,3,721.7,268.8,69.5,39.39999999999998,1,1,1.0
3,1,74.4,341.6,139.29999999999998,60.89999999999998,1,1,1.0
3,2,208.73,251.37,94.35999999999999,40.99000000000001,1,1,1.0
3,3,706.9,269.4,76.39999999999998,40.700000000000045,1,1,1.0
4,1,49.0,343.5,143.9,63.69999999999999,1,1,1.0
4,2,208.7,251.42,94.38,41.22,1,1,1.0
4,3,692.8,271.6,76.10000000000002,40.39999999999998,1,1,1.0
5,1,23.5,349.2,146.1,64.0,1,1,1.0
5,2,208.68,251.47,94.38,41.45000000000002,1,1,1.0
5,3,680.3,274.0,74.20000000000005,39.89999999999998,1,1,1.0
6,1,0.3,351.7,147.79999999999998,65.60000000000002,1,1,1.0
6,2,208.66,251.52,94.38000000000002,41.67999999999998,1,1,1.0
6,3,664.5,274.3,77.79999999999995,42.599999999999966,1,1,1.0
7,1,0.3,354.5,123.9,68.80000000000001,1,1,1.0
7,2,208.63,251.57,94.38999999999999,41.69,1,1,1.0
7,3,648.7,275.9,80.59999999999991,43.200000000000045,1,1,1.0
8,1,0.3,358.6,100.9,68.79999999999995,1,1,1.0
8,2,208.61,251.62,94.39999999999998,41.69,1,1,1.0
8,3,634.84,278.1,81.45999999999992,43.98999999999995,1,1,1.0
9,1,0.0,363.63,77.9,56.870000000000005,1,1,1.0
9,2,208.58,251.67,94.41,41.70000000000002,1,1,1.0
9,3,621.24,280.0,81.47000000000003,44.5,1,1,1.0
10,1,0.0,369.0,51.5,56.5,1,1,1.0
10,2,208.56,251.73,94.41000000000003,41.690000000000026,1,1,1.0
10,3,604.7,282.18,83.59999999999991,44.71999999999997,1,1,1.0
11,1,0.0,380.0,28.2,48.60000000000002,1,1,1.0
11,2,208.54,251.78,94.41,41.70000000000002,1,1,1.0
11,3,590.84,285.2,84.65999999999997,44.69999999999999,1,1,1.0
12,2,208.51,251.83,94.43,41.69999999999996,1,1,1.0
12,3,575.61,286.6,84.66999999999996,46.299999999999955,1,1,1.0
13,2,208.49,251.88,94.43,41.70999999999998,1,1,1.0
13,3,559.3,288.5,87.60000000000002,41.10000000000002,1,1,1.0
14,2,208.47,251.93,94.42999999999998,41.70999999999998,1,1,1.0
14,3,544.08,290.13,87.01999999999998,46.76999999999998,1,1,1.0
